Energia,Ang_TD,Pos_ini(y),y1,y1',x1,x1',teta1,teta1',y2,y2',x2,x2',teta2,teta2'
800.,1.0890854532444616,0.977240715846243,0.9742441767095653,0.000039788775872309345,0.7575219355609573,0.0008871996856008747,0.041836038676585044,-0.005965379702115352,0.9740873505317529,-0.00002574384275881061,1.510306945445929,0.0008986271862443923,-0.03157560242505993,-0.005869982002389009
800.,1.0890854532444616,0.9817925726769944,0.9573917800834457,0.00006183589418504389,0.7189227424063129,0.0009551512641640409,0.06342551807651584,-0.0024494950314999115,0.9635524266801547,-0.0006667071712876968,1.5224908364359326,0.0006911774003107474,-0.7686944773102501,-0.0026119364518199556
800.,1.1100294042683936,0.9582847040957652,0.9845084313295003,-0.0002816471665380976,0.7581044067259985,0.000766968614551326,-0.3560263967032048,-0.008164054136906077,0.912841335740221,-0.000020044456932514744,1.3450675666266565,0.0009093970636609337,-0.01904655826464324,0.005983690801723582
800.,1.1100294042683936,0.9624562336861886,0.9820627906443324,-0.00010916583009693046,0.7426140585688882,0.0008267893092497312,-0.13524903059089993,-0.007937281046704516,0.9352375897722212,-0.00011185331831114462,1.373637094723123,0.0009737166055048679,-0.11360585257456085,0.0015345687179301986
800.,1.1100294042683936,0.9666277632766122,0.9746401738877364,-0.00001522762966931015,0.7236683241754325,0.0008835475620952944,-0.020274390163206875,-0.006082098620265979,0.9566960790342696,-0.00003233261432239781,1.4033011959525736,0.0009646184935969711,-0.03466406793869572,-0.0023151075034177258
800.,1.1100294042683936,0.9707992928670356,0.9649347163443373,-3.523888800993438e-6,0.700404728636289,0.0009310721972516527,-0.005758655037394802,-0.003947689747788117,0.9786506489611112,-0.000035596037862197375,1.432738852510447,0.0008652100406177272,-0.04462602704242725,-0.007013235336364728
800.,1.1100294042683936,0.9749708224574591,0.9550277633711134,-0.000051531344138531804,0.6759089716055264,0.000959871968658093,-0.05464542491647749,-0.0020208362824513295,0.9768394540759723,-0.0005783966149436662,1.4564699296018013,0.0006772406948332127,-0.709323023878022,-0.004940906997633253
800.,1.1309733552923256,0.9543169851836893,0.9839574049174933,-0.00008208802577677892,0.7160559270922233,0.0008142895135398173,-0.10473268256963546,-0.008518620946763766,0.9235692601621613,-0.0002471140270219563,1.2959993251925568,0.0009238549025140581,-0.2595761513545195,0.0035830793828011487
800.,1.1309733552923256,0.9581239030850486,0.9776579053528199,2.501789181215068e-7,0.6996703795340911,0.0008641156586387116,-0.0031260698335228046,-0.006831196023065961,0.9423765746356763,-0.00022275657507500428,1.3104496647655277,0.0009586110359756138,-0.22820017274912413,0.0002509383905410481
800.,1.1309733552923256,0.9619308209864078,0.9702637583940172,0.00001602280884253249,0.6815729178688887,0.0009062709274047882,0.01513740544835035,-0.005082277457666919,0.9563698147562314,-0.00010119540532710772,1.3243339042355038,0.000959157994785971,-0.10624352624001018,-0.0022524856946844565
800.,1.1309733552923256,0.965737738887767,0.9631698790079587,-0.00001743264359678788,0.6632315261493107,0.0009366819343418056,-0.02040630582338464,-0.0035941460977394887,0.9682270064654295,0.00003207851651916517,1.3402452150148332,0.0009216097641311608,0.03249096433540037,-0.004605455577460787
800.,1.1309733552923256,0.9695446567891262,0.9564021062029762,-0.0000788496017070075,0.6447961359124381,0.0009542290864840391,-0.08358459858342317,-0.0022776644289208402,0.9850039254745562,0.000016905606573900207,1.3645813910171003,0.0008166159966173279,0.016300087180105928,-0.008799466753171037
800.,1.1519173063162573,0.9481272745855606,0.9838748220083037,0.000012192121459605854,0.6859810890911264,0.0008187277768133093,0.01062228337205126,-0.008537190877649477,0.9244463794073192,-0.00035659139233573694,1.2394999043637627,0.0008936262562529465,-0.3780504393548116,0.0032668275497794597
800.,1.1519173063162573,0.9515854562798565,0.9778853775081197,0.00006559791238336384,0.6725194221358562,0.0008598871134664149,0.07270721404617492,-0.00686793416549491,0.9406413512444948,-0.000333022977361571,1.2479923751152335,0.0009288116623493353,-0.34401297755522625,0.0005219760478551984
800.,1.1519173063162573,0.9550436379741525,0.9716215842056528,0.00007128999055843514,0.6573855797067849,0.0008961416573651175,0.07670234278711344,-0.005368922885059284,0.9518862535275177,-0.00023716336787632056,1.2524619012448386,0.0009463635128296417,-0.24625362123042516,-0.0014039584329229352
800.,1.1519173063162573,0.9585018196684485,0.9658254850397655,0.00003858045509585935,0.6407765541449538,0.0009248521885527511,0.03962569237904861,-0.004132381651150455,0.9584079836783644,-0.0001120376596962494,1.2528077887443057,0.0009512907725697928,-0.11855406704530289,-0.002635693937105703
800.,1.1519173063162573,0.9619600013627444,0.960983015632213,-0.000018545828586788896,0.6252379803169829,0.0009432430251808899,-0.021241295476619015,-0.0031633893384853127,0.9616808835969722,0.000016081152081376607,1.254021409889122,0.000945904554353904,0.015358977429510144,-0.003280978510218588
800.,1.1519173063162573,0.9654181830570403,0.9565177313091657,-0.00008884445394979719,0.6096506532975234,0.000952378370501097,-0.09416913562637234,-0.0022998090471518886,0.9648593764229144,0.000144993685271894,1.257836923650602,0.0009234876857510014,0.153808925207492,-0.003858624858958782
800.,1.1519173063162573,0.9688763647513363,0.9521273936086074,-0.00016051245529064912,0.596280177631851,0.0009529574914003533,-0.16761087491420726,-0.0014769547151743557,0.9779735242437931,0.000221758128341231,1.2817761894405981,0.0008417280146627446,0.25430454392889834,-0.006608542688540724
